IDENTIFIER,TRAVEL_BEGIN_DT,TRAVEL_END_DT,TRAVEL_EXPENSE_CATEGORY,ACCOUNT,PROJECT_ID, AMOUNT 
NC2403137045,03/06/24,03/10/24,Other Ground Transportation,53141,583925,  209.44 
NC2403137045,03/06/24,03/10/24,Mileage,53141,583925,  335.00 
NC2403137052,02/15/24,02/16/24,Mileage,53141,201471-10040,  67.67 
NC2403137052,02/15/24,02/16/24,Other Ground Transportation,53141,201471-10040,  63.33 
NC2403137053,03/01/24,03/03/24,Mileage,53141,567852,  298.82 
NC2403137055,03/01/24,03/03/24,Mileage,53141,567852,  254.60 
NC2403137056,03/01/24,03/03/24,Mileage,53141,567852,  268.00 
NC2403137058,03/01/24,03/03/24,Mileage,53141,567852,  282.74 
NC2403137062,03/01/24,03/03/24,Mileage,53141,567852,  261.30 
NC2403137063,03/01/24,03/03/24,Mileage,53141,567852,  258.62 
NC2403137065,02/29/24,03/02/24,Other Ground Transportation,53141,663422,  101.90 
NC2403137066,03/01/24,03/03/24,Mileage,53141,567852,  261.30 
NC2403137067,03/01/24,03/03/24,Mileage,53141,567852,  278.72 
NC2403137070,03/01/24,03/03/24,Mileage,53141,567852,  259.96 
NC2403137073,02/26/24,02/28/24,Other Ground Transportation,53141,672429,  150.88 
NC2403137075,03/01/24,03/03/24,Mileage,53141,567852,  226.46 
NC2403137078,03/01/24,03/03/24,Mileage,53141,567852,  206.36 
NC2403137080,02/29/24,03/02/24,Other Ground Transportation,53141,663422,  109.18 
NC2403137081,03/01/24,03/03/24,Mileage,53141,567852,  210.38 
NC2403137082,03/01/24,03/03/24,Mileage,53141,567852,  274.70 
NC2403137083,03/01/24,03/03/24,Other Ground Transportation,53141,500559,  44.86 
NC2403137084,03/01/24,03/03/24,Mileage,53141,567852,  217.08 
NC2403137085,03/01/24,03/03/24,Mileage,53141,567852,  274.70 
NC2403137105,10/19/23,10/22/23,Other Ground Transportation,53141,534887,  77.88 
NC2403147125,02/14/24,02/17/24,Other Ground Transportation,53141,214020-00005,  83.22 
NC2403147126,02/25/24,02/27/24,Other Ground Transportation,53141,214020-00005,  172.58 
NC2403147149,09/23/23,10/01/23,Other Ground Transportation,53141,566306,  80.63 
NC2403147157,01/02/24,01/07/24,Other Ground Transportation,53141,534887,  133.98 
NC2403147170,01/02/24,01/06/24,Other Ground Transportation,53141,567478,  23.00 
NC2403147170,01/02/24,01/06/24,Mileage,53141,567478,  53.60 
NC2403147185,02/28/24,,Other Ground Transportation,53141,408050-02876,  53.00 
NC2403147188,02/17/24,02/21/24,Other Ground Transportation,53141,406050-05141,  13.71 
NC2403147191,02/17/24,,Mileage,53141,406050-05141,  564.14 
NC2403147194,11/02/23,11/05/23,Other Ground Transportation,53141,201475,  136.85 
NC2403147195,02/17/24,,Mileage,53141,406050-05141,  238.52 
NC2403147219,03/01/24,03/03/24,Other Ground Transportation,53141,500559,  82.72 
NC2403157243,03/07/24,03/10/24,Other Ground Transportation,53141,567227-02805,  44.41 
NC2403157252,01/02/24,01/07/24,Other Ground Transportation,53141,534887,  55.01 
NC2403157262,03/01/24,03/03/24,Other Ground Transportation,53141,500559,  138.86 
NC2403157266,03/07/24,03/08/24,Other Ground Transportation,53141,675317,  104.19 
NC2403157272,03/04/24,03/05/24,Other Ground Transportation,53141,675317,  156.91 
NC2403157289,03/01/24,03/03/24,Other Ground Transportation,53141,500559,  194.52 
NC2403157304,03/07/24,03/09/24,Other Ground Transportation,53141,301701,  71.10 
NC2403157308,03/01/24,03/03/24,Other Ground Transportation,53141,500559,  114.88 
NC2403157313,03/08/24,03/09/24,Mileage,53141,301701,  38.19 
NC2403187381,02/27/24,02/29/24,Other Ground Transportation,53141,672429,  92.41 
NC2403187423,02/29/24,03/16/24,Mileage,53141,991465,  33.50 
NC2403187424,03/01/24,03/03/24,Mileage,53141,500559,  97.82 
NC2403187435,03/17/24,03/18/24,Mileage,53141,201559,  89.78 
NC2403187441,03/17/24,03/18/24,Mileage,53141,201559,  101.84 
NC2403187456,02/29/24,03/02/24,Other Ground Transportation,53141,201584-50501,  69.69 
NC2403187466,03/01/24,03/01/24,Mileage,53141,201584-50501,  140.70 
NC2403187472,02/29/24,03/02/24,Other Ground Transportation,53141,201584-50501,  30.02 
NC2403187475,02/29/24,03/02/24,Mileage,53141,201584-50501,  404.68 
NC2403187476,03/06/24,03/08/24,Other Ground Transportation,53141,672429,  24.45 
NC2403187479,03/01/24,03/03/24,Other Ground Transportation,53141,500559,  386.00 
NC2403187486,02/09/24,02/09/24,Mileage,53141,580278,  299.49 
NC2403187495,03/04/24,03/06/24,Other Ground Transportation,53141,667133,  36.00 
NC2403197505,03/04/24,03/05/24,Other Ground Transportation,53141,201006,  10.60 
NC2403197505,03/04/24,03/05/24,Mileage,53141,201006,  251.92 
NC2403197507,03/07/24,03/09/24,Other Ground Transportation,53141,673501,  95.75 
NC2403197508,03/15/24,03/16/24,Mileage,53141,673877,  198.99 
NC2403197510,03/11/24,03/13/24,Mileage,53141,221085,  178.22 
NC2403197510,03/11/24,03/13/24,Other Ground Transportation,53141,221085,  40.00 
NC2403197527,03/17/24,03/18/24,Mileage,53141,201559,  387.26 
NC2403197540,02/29/24,03/02/24,Other Ground Transportation,53141,663422,  63.06 
NC2403197541,03/17/24,03/19/24,Mileage,53141,201559,  269.34 
NC2403197544,02/27/24,02/29/24,Other Ground Transportation,53141,534852-05143,  72.00 
NC2403197544,02/27/24,02/29/24,Mileage,53141,534852-05143,  164.82 
